x,a,b,c,d,index_value
492,102,120,37,97,265
493,102,119,36,97,261
494,102,118,35,98,261
495,102,118,35,98,260
496,102,118,36,98,260
497,104,119,36,100,260
498,105,120,36,101,264
499,105,120,37,101,266
500,105,121,38,102,272
501,105,121,38,102,273
502,105,121,38,102,272
503,105,121,38,102,268
504,105,120,38,102,261
505,105,118,37,102,257
506,104,117,36,100,248
507,104,115,34,99,245
508,104,115,33,99,245
510,104,115,33,99,252
511,104,116,33,100,254
512,104,117,34,100,261
513,104,118,34,101,264
514,105,120,35,103,274
515,107,123,37,105,281
516,108,125,39,107,287
517,109,128,43,107,293
518,109,128,47,107,296
519,109,128,47,107,297
520,108,128,47,107,294
521,109,128,47,107,294
522,109,128,47,108,292
523,109,128,47,108,292
524,109,128,47,108,288
525,109,127,46,108,290
526,109,127,46,108,290
527,109,127,46,108,288
528,109,127,46,108,286
529,109,126,45,108,284
530,109,126,45,108,285
531,109,125,45,109,283
532,109,125,44,109,283
533,109,125,44,109,280
534,109,125,44,108,280
535,109,125,45,107,280
536,109,125,44,108,282
537,109,125,44,108,281
538,109,125,44,108,280
539,109,125,43,108,277
540,109,126,43,109,277
541,110,127,43,110,277
542,110,127,45,110,278
543,110,127,47,110,276
547,115,129,41,116,280
548,115,128,40,116,275
549,115,127,39,116,270
550,115,126,37,116,265
551,115,127,37,116,267
552,115,127,37,116,271
553,115,128,37,116,278
554,116,129,38,116,279
555,116,129,40,116,284
556,116,129,40,117,284
557,116,130,40,117,286
558,116,131,40,117,288
559,116,131,42,117,287
560,116,130,43,118,284
561,116,129,42,118,279
562,116,129,41,117,273
563,116,127,40,116,264
564,116,127,39,116,260
565,115,125,37,116,256
570,113,121,35,112,233
571,112,121,34,112,232
572,111,120,34,112,232
573,111,120,32,110,234
574,111,121,32,110,237
575,111,122,32,111,241
576,112,123,33,112,246
577,112,125,34,112,249
578,112,126,36,112,255
579,112,128,36,113,258
580,112,128,37,113,262
581,112,129,38,113,264
582,112,130,39,113,267
583,113,131,39,114,268
