x,a,b,c,d,index_value
425,199,12,29,87,177
426,198,10,27,87,173
427,196,11,26,83,184
428,195,12,26,73,198
429,195,15,29,74,201
430,195,16,33,74,210
431,195,16,36,73,211
432,195,16,38,73,211
433,195,15,37,72,197
434,194,13,36,72,192
435,193,11,33,69,183
436,192,10,32,65,184
438,192,13,32,62,187
439,193,17,33,64,201
440,193,19,36,67,207
441,194,22,40,68,218
442,194,23,42,70,223
443,195,26,43,72,226
444,196,27,44,74,232
445,198,29,47,77,240
446,198,32,51,82,245
447,200,34,53,88,254
448,200,36,56,90,260
449,201,38,60,92,264
450,201,39,62,94,268
451,201,41,63,95,268
452,202,41,63,96,269
453,202,42,63,98,274
454,203,44,65,101,281
455,204,46,65,103,289
456,204,48,69,105,294
457,205,49,71,108,304
458,206,49,71,110,304
459,206,49,71,112,304
460,206,49,70,114,301
461,206,48,69,114,294
462,206,47,68,114,291
476,206,44,56,113,236
477,207,45,56,113,252
481,208,50,61,116,273
482,208,50,61,116,272
486,206,44,57,114,232
487,205,43,54,111,228
488,205,42,52,109,215
489,204,41,51,105,212
490,203,41,51,103,209
492,203,41,51,101,214
493,203,42,51,101,213
494,203,44,51,101,215
495,203,44,53,102,216
496,204,44,53,102,216
497,204,43,50,103,217
498,204,43,50,103,219
499,204,42,51,103,216
500,203,40,50,100,202
501,202,38,47,98,199
502,202,38,47,96,192
503,201,38,46,94,193
504,201,39,48,92,200
505,201,39,48,92,203
506,201,39,47,93,204
507,201,39,46,93,201
508,201,38,45,93,197
509,201,38,45,93,195
510,201,38,45,93,195
511,201,38,45,93,193
513,200,35,44,92,167
514,199,30,39,91,128
515,198,29,36,86,129
516,197,27,34,82,113
517,196,27,34,77,128
518,195,28,35,72,121
519,195,30,35,69,135
520,196,32,37,69,145
521,196,33,39,71,151
522,196,34,42,71,159
523,196,34,41,71,165
524,196,34,40,71,169
525,197,35,40,72,165
526,197,35,39,74,167
527,197,35,39,74,162
528,196,34,38,74,152
529,196,34,36,73,145
530,196,32,35,72,137
531,195,31,31,71,134
532,194,30,29,67,129
533,193,30,29,63,134
534,193,30,29,61,138
536,192,30,29,56,128
538,190,28,29,50,112
539,190,29,28,47,116
540,189,32,26,43,121
541,189,33,29,44,129
542,190,35,33,44,142
543,191,35,36,44,136
544,193,37,32,48,154
545,193,38,7,54,162
546,194,44,15,57,173
547,195,45,22,60,178
548,195,48,28,63,205
549,195,48,33,65,206
550,195,48,37,65,205
551,195,48,37,65,202
552,194,48,37,62,205
553,195,49,40,62,207
554,195,49,42,64,212
555,195,49,43,64,212
557,195,51,43,64,225
558,195,52,50,64,228
559,196,53,51,65,239
560,196,54,51,67,241
561,196,54,54,68,238
562,197,55,54,72,240
563,198,56,56,75,240
565,198,56,57,78,240
566,199,57,56,79,236
567,199,59,58,79,242
568,200,60,59,80,256
569,200,46,60,81,266
570,199,46,59,81,277
571,192,31,49,50,278
572,193,31,50,51,281
573,193,31,51,52,278
574,193,30,50,52,273
575,192,29,49,52,268
576,191,27,49,51,260
577,189,26,48,38,258
578,189,24,46,38,253
579,190,24,44,38,247
580,190,24,41,39,246
581,190,24,41,41,246
582,190,24,43,41,246
583,190,24,42,42,243
584,190,24,42,42,240
585,191,24,43,42,233
586,191,23,42,45,231
587,191,23,42,47,227
588,191,23,40,47,226
589,191,22,39,47,227
590,191,22,40,47,229
591,191,23,39,47,228
593,192,23,39,48,230
594,192,24,40,48,233
595,192,25,40,48,237
596,191,25,42,45,238
597,191,25,42,46,238
598,191,26,42,46,233
599,191,27,43,46,232
600,191,38,43,46,233
601,191,39,43,46,236
602,191,44,51,46,233
603,191,40,50,46,232
604,191,39,48,44,225
605,191,38,48,43,221
606,191,37,46,43,206
607,191,36,43,43,202
608,191,35,42,43,204
609,191,41,42,43,213
610,191,43,43,43,217
611,191,47,46,43,207
612,191,47,46,41,204
613,191,46,45,42,194
614,191,46,45,42,198
615,191,47,45,42,199
616,191,48,46,43,212
617,192,50,48,43,213
618,192,51,49,44,216
619,192,51,50,46,217
620,192,51,50,47,216
621,192,51,49,48,216
622,193,51,49,50,219
623,193,52,49,51,225
624,194,54,49,52,232
625,194,55,49,56,237
626,195,57,54,58,244
627,196,57,56,60,245
628,196,57,58,62,242
629,196,57,57,62,237
630,196,56,57,63,229
631,196,49,55,64,226
632,196,48,54,64,227
633,196,41,46,64,232
634,196,40,45,62,235
635,196,39,44,62,232
636,196,38,43,63,231
637,196,39,43,63,227
639,196,39,43,62,228
640,196,39,44,64,224
641,196,25,41,65,222
642,195,24,30,65,226
643,194,11,28,57,232
644,195,12,30,55,238
646,195,12,30,57,244
647,195,13,31,57,243
648,195,14,32,57,240
649,195,14,33,57,242
650,195,15,34,57,247
651,195,16,34,57,248
652,195,17,34,55,254
653,195,17,36,56,253
654,196,17,36,57,255
655,196,19,36,59,259
656,196,20,37,61,266
657,196,21,39,62,262
658,196,21,40,62,259
660,197,23,40,62,266
661,197,25,40,65,272
662,198,26,42,68,273
663,199,28,44,71,275
664,199,28,46,74,275
665,199,28,47,75,279
666,199,29,48,75,283
667,200,31,49,75,289
668,200,32,52,78,295
669,201,32,52,80,299
670,201,32,52,83,298
671,201,33,54,84,299
672,201,33,54,84,299
673,201,32,56,85,298
674,201,31,55,85,297
675,202,32,54,85,300
