x,a,b,c,d,index_value,label
465,99,120,36,93,276,0
466,99,120,36,94,274,0
468,100,120,36,94,272,0
469,100,119,35,94,272,0
471,100,119,35,94,272,0
473,100,121,35,95,274,0
474,101,122,36,96,277,0
475,102,123,36,97,278,0
476,102,123,38,97,281,0
477,102,123,39,97,279,0
478,102,123,39,97,277,0
479,102,122,38,97,273,0
480,102,121,37,97,274,0
481,101,121,37,96,275,0
482,102,121,38,97,276,0
484,102,122,38,98,277,0
485,103,122,38,98,279,0
486,103,122,38,98,278,0
487,103,122,39,98,277,0
488,103,122,39,98,273,0
489,102,121,38,98,273,0
490,102,121,38,97,273,0
491,102,121,38,97,268,0
492,102,120,37,97,265,0
493,102,119,36,97,261,0
494,102,118,35,98,261,0
495,102,118,35,98,260,0
496,102,118,36,98,260,0
497,104,119,36,100,260,0
498,105,120,36,101,264,0
499,105,120,37,101,266,0
500,105,121,38,102,272,0
501,105,121,38,102,273,0
502,105,121,38,102,272,0
503,105,121,38,102,268,0
504,105,120,38,102,261,0
505,105,118,37,102,257,0
506,104,117,36,100,248,0
507,104,115,34,99,245,0
508,104,115,33,99,245,0
510,104,115,33,99,252,0
511,104,116,33,100,254,0
512,104,117,34,100,261,0
513,104,118,34,101,264,0
514,105,120,35,103,274,0
515,107,123,37,105,281,0
516,108,125,39,107,287,0
517,109,128,43,107,293,0
518,109,128,47,107,296,0
519,109,128,47,107,297,0
520,108,128,47,107,294,0
521,109,128,47,107,294,0
522,109,128,47,108,292,0
523,109,128,47,108,292,0
524,109,128,47,108,288,0
525,109,127,46,108,290,0
526,109,127,46,108,290,0
527,109,127,46,108,288,0
528,109,127,46,108,286,0
529,109,126,45,108,284,0
530,109,126,45,108,285,0
531,109,125,45,109,283,0
532,109,125,44,109,283,0
533,109,125,44,109,280,0
534,109,125,44,108,280,0
535,109,125,45,107,280,0
536,109,125,44,108,282,0
537,109,125,44,108,281,0
538,109,125,44,108,280,0
539,109,125,43,108,277,0
540,109,126,43,109,277,0
541,110,127,43,110,277,0
542,110,127,45,110,278,0
543,110,127,47,110,276,0
547,115,129,41,116,280,0
548,115,128,40,116,275,0
549,115,127,39,116,270,0
550,115,126,37,116,265,0
551,115,127,37,116,267,0
552,115,127,37,116,271,0
553,115,128,37,116,278,0
554,116,129,38,116,279,0
555,116,129,40,116,284,0
556,116,129,40,117,284,0
557,116,130,40,117,286,0
558,116,131,40,117,288,0
559,116,131,42,117,287,0
560,116,130,43,118,284,0
561,116,129,42,118,279,0
562,116,129,41,117,273,0
563,116,127,40,116,264,0
564,116,127,39,116,260,0
565,115,125,37,116,256,0
570,113,121,35,112,233,0
571,112,121,34,112,232,0
572,111,120,34,112,232,0
573,111,120,32,110,234,0
574,111,121,32,110,237,0
575,111,122,32,111,241,0
576,112,123,33,112,246,0
577,112,125,34,112,249,0
578,112,126,36,112,255,0
579,112,128,36,113,258,0
580,112,128,37,113,262,0
581,112,129,38,113,264,0
582,112,130,39,113,267,0
583,113,131,39,114,268,0
584,113,132,39,114,272,0
585,113,132,40,114,272,0
586,113,132,41,114,272,0
587,113,131,40,114,271,0
588,113,131,39,114,268,0
589,113,129,39,114,260,0
590,113,128,38,114,257,0
591,112,126,36,113,250,0
592,112,125,34,112,247,0
593,111,125,34,111,247,0
594,111,125,33,111,246,0
596,111,125,33,111,252,0
597,111,125,33,111,251,0
598,111,125,33,111,251,0
599,112,125,32,111,250,0
600,112,126,32,112,253,0
602,112,126,32,113,254,0
603,113,126,32,113,253,0
604,113,126,32,114,252,0
605,113,126,31,114,246,0
606,113,126,31,114,245,0
607,113,126,31,114,243,0
608,113,126,31,113,239,0
609,113,125,31,113,237,0
610,112,124,30,112,234,0
612,112,124,30,112,237,0
613,112,125,30,111,239,0
614,112,125,30,111,241,0
615,112,125,30,111,240,0
616,112,124,29,111,237,0
617,111,123,28,110,235,0
618,111,123,28,111,240,0
620,113,126,28,113,252,0
621,113,127,30,113,254,0
622,113,127,30,113,256,0
623,113,128,31,113,258,0
624,113,128,31,114,260,0
625,114,129,32,114,263,0
633,116,135,34,116,282,0
634,117,136,35,117,286,0
635,117,136,37,118,287,0
636,117,137,38,118,290,0
638,118,137,38,119,293,0
639,118,137,39,120,293,0
640,118,137,38,120,293,0
641,118,137,37,121,291,0
642,118,137,37,120,291,0
643,118,136,37,120,290,0
644,118,136,36,120,288,0
645,118,134,35,119,279,0
646,118,133,33,119,277,0
647,117,132,32,119,270,0
648,117,132,32,119,271,0
649,117,132,32,119,274,0
650,117,132,32,119,278,0
651,117,133,32,119,281,0
652,117,134,32,119,285,0
653,117,134,33,119,288,0
654,117,135,33,119,291,0
655,118,137,33,119,295,0
656,119,137,34,120,298,0
657,119,138,35,121,302,0
658,119,138,35,121,304,0
659,119,139,36,122,306,0
660,120,140,36,122,308,0
661,120,141,37,123,311,0
662,121,142,38,124,313,0
663,121,143,39,125,316,0
664,122,144,40,126,317,0
665,122,144,42,127,318,0
666,122,144,42,127,318,0
667,123,144,42,128,319,0
668,123,144,42,129,321,0
669,123,144,43,130,321,0
670,124,145,43,130,323,0
671,124,145,43,130,323,0
672,124,145,44,131,322,0
673,124,144,42,132,316,0
674,124,143,42,132,314,0
675,125,142,41,132,315,0
676,125,143,41,132,318,0
677,125,144,41,133,321,0
678,125,144,41,133,321,0
679,125,144,42,134,322,0
680,126,144,42,134,323,0
682,126,144,42,135,316,0
683,126,143,41,135,312,0
684,127,142,40,135,312,0
685,127,142,40,136,313,0
686,127,142,40,136,312,0
687,127,141,39,136,308,0
688,127,140,38,136,307,0
689,127,140,37,136,310,0
690,127,140,37,136,312,0
691,127,140,37,137,315,0
692,127,141,37,137,316,0
693,127,142,38,137,318,0
694,129,143,38,138,323,0
695,130,145,39,138,327,0
696,131,147,41,140,333,0
697,131,149,44,143,337,0
698,132,150,46,146,338,0
699,133,151,47,147,338,0
700,133,151,49,148,340,0
701,133,151,49,149,343,0
702,136,153,50,150,345,0
703,136,154,51,152,348,0
704,136,154,54,154,349,0
705,136,154,54,154,348,0
706,136,154,54,154,347,0
707,137,154,54,154,343,0
708,137,154,54,155,341,0
709,137,153,53,155,335,0
710,137,152,51,155,332,0
711,136,151,51,155,330,0
712,136,150,50,155,328,0
713,136,149,48,155,331,0
714,136,149,48,155,332,0
715,136,149,48,155,332,0
716,136,149,48,155,333,0
717,137,150,48,155,335,0
718,137,150,48,155,336,0
719,137,151,48,156,341,0
720,138,153,49,157,343,0
721,138,153,51,157,348,0
722,138,153,52,158,350,0
723,138,153,52,159,352,0
724,138,153,53,159,350,0
725,138,153,52,159,350,0
726,138,153,52,159,349,0
727,138,152,52,159,345,0
728,138,151,50,159,342,0
729,138,151,50,159,339,0
730,138,150,49,159,339,0
732,138,151,49,159,344,0
734,138,151,49,160,347,0
735,138,151,49,159,346,0
736,138,151,48,159,347,0
737,138,150,48,159,348,0
738,138,151,48,159,349,0
739,138,151,48,159,350,0
740,139,151,48,159,349,0
741,139,151,48,160,346,0
742,139,151,48,161,343,0
743,139,150,48,161,342,0
744,139,149,47,161,342,0
745,139,149,47,161,343,0
746,139,149,47,161,343,0
747,139,149,47,161,343,0
748,139,149,47,161,342,0
749,139,149,46,161,340,0
750,139,148,46,161,340,0
752,140,150,46,161,343,0
753,140,150,46,162,344,0
754,139,150,45,162,345,0
755,139,149,45,162,341,0
756,139,149,45,162,338,0
757,139,148,44,161,333,0
758,139,147,43,160,331,0
759,139,147,42,160,328,0
760,138,146,42,159,327,0
761,138,145,41,159,323,0
762,138,145,41,159,322,0
763,138,145,41,159,323,0
764,138,144,41,159,322,0
765,138,144,40,159,323,0
766,138,145,40,159,324,0
767,138,145,40,159,325,0
768,138,145,41,160,324,0
769,138,145,41,160,324,0
770,140,146,41,160,325,0
771,140,146,42,161,326,0
772,140,146,42,163,327,0
773,140,147,42,164,327,0
774,141,147,42,164,326,0
775,141,148,42,164,331,0
776,142,150,44,165,333,0
777,142,151,46,166,339,0
778,143,152,47,167,341,0
779,143,152,48,168,345,0
780,143,152,49,169,342,0
781,144,152,50,170,341,0
782,144,152,50,170,337,0
783,145,152,50,171,339,0
784,145,152,50,172,339,0
785,145,152,50,173,339,0
786,145,153,50,174,340,0
787,145,153,50,174,342,0
788,145,153,51,174,345,0
789,145,153,52,174,344,0
790,145,153,52,174,340,0
791,145,153,51,174,335,0
792,145,152,50,174,328,0
793,145,150,49,173,324,0
794,144,149,48,173,318,0
795,144,148,47,173,313,0
796,144,146,45,172,309,0
797,144,145,45,172,306,0
798,144,143,43,171,298,0
799,143,140,42,166,291,0
800,141,138,41,163,283,0
801,139,136,39,161,272,0
802,138,135,37,159,269,0
803,138,135,37,157,270,0
804,137,136,38,157,273,0
805,136,137,40,157,279,0
806,136,137,40,157,278,0
807,136,136,40,156,270,0
808,136,135,38,155,266,0
809,135,134,37,153,260,0
810,134,133,37,152,258,0
811,134,133,36,151,256,0
812,133,132,36,151,254,0
813,133,130,36,150,251,0
814,133,128,36,148,250,0
815,132,125,34,146,246,0
816,131,125,33,146,252,0
817,131,127,33,146,253,0
818,131,127,34,147,257,0
819,131,127,34,146,257,0
820,131,126,33,146,253,0
821,131,126,33,146,254,0
822,131,127,34,146,257,0
823,131,128,34,146,261,0
824,131,130,35,146,267,0
825,132,133,37,147,277,0
826,133,137,39,148,290,0
827,135,139,43,150,298,0
828,135,143,49,154,314,0
829,136,145,51,156,317,0
830,137,147,52,157,325,0
831,137,148,53,157,327,0
832,137,149,56,158,327,0
833,136,150,56,158,326,0
834,136,151,57,158,324,0
835,136,151,55,158,320,0
836,136,150,54,158,317,0
837,136,149,53,158,318,0
839,137,149,53,158,322,0
840,137,149,52,160,320,0
841,138,148,51,161,320,0
842,138,148,50,161,321,0
843,138,148,50,161,322,0
844,138,148,49,162,320,0
845,138,147,48,162,319,0
846,138,147,48,162,318,0
847,138,147,48,162,318,0
848,138,147,47,162,317,0
849,137,146,46,161,316,0
850,137,146,46,161,314,0
851,137,146,46,161,312,0
852,137,145,45,160,308,0
853,137,144,44,159,307,0
854,137,142,41,158,302,0
855,136,142,41,157,302,0
856,136,142,41,157,298,0
857,135,141,40,156,296,0
858,135,140,38,156,289,0
859,135,138,37,155,284,0
860,133,137,37,153,280,0
861,133,136,36,152,283,0
863,133,138,36,152,292,0
864,133,138,37,152,291,0
865,133,138,36,152,288,0
866,133,137,36,151,274,0
867,133,135,33,151,268,0
868,132,132,32,150,257,0
869,132,130,31,148,260,0
870,131,129,28,147,268,0
871,131,131,28,147,282,0
872,131,133,30,147,290,0
873,132,134,32,148,298,0
874,132,136,33,149,302,0
875,132,138,35,150,305,0
876,132,138,36,150,303,0
877,132,138,37,150,301,0
878,132,138,36,150,302,0
879,133,139,36,150,304,0
881,134,140,36,152,311,0
882,134,141,36,153,311,0
883,134,142,37,154,312,0
884,135,142,37,154,314,0
885,135,143,37,155,317,0
886,136,145,37,156,320,0
887,136,147,39,158,328,0
888,137,148,41,159,329,0
889,137,148,42,160,324,0
890,137,147,42,161,317,0
891,137,146,41,161,312,0
892,137,146,40,161,313,0
893,137,146,40,161,315,0
894,137,147,39,161,320,0
895,137,147,39,162,321,0
896,138,147,39,162,321,0
897,138,148,39,163,321,0
898,138,149,38,163,321,0
899,137,151,38,162,321,0
900,137,151,40,162,323,0
901,137,151,41,162,324,0
902,137,151,41,162,323,0
903,137,152,40,162,323,0
904,138,152,40,163,324,0
905,138,152,40,163,325,0
906,138,152,40,163,327,0
907,138,153,40,164,328,0
908,139,154,41,165,331,0
909,140,155,42,165,334,0
910,140,155,44,167,337,0
911,141,156,45,168,341,0
912,141,158,45,169,342,0
913,141,159,46,170,341,0
914,142,160,47,171,340,0
915,142,160,48,171,340,0
916,142,160,48,172,340,0
917,142,160,48,173,339,0
918,142,159,47,174,338,0
919,142,159,47,173,335,0
920,142,158,46,173,336,0
921,142,158,44,173,337,0
922,142,158,44,173,337,0
923,142,158,44,173,337,0
924,143,158,44,174,336,0
925,143,159,43,174,336,0
926,143,159,43,175,337,0
927,143,159,43,175,337,0
928,143,159,43,175,337,0
929,143,159,43,175,336,0
930,143,159,42,176,336,0
931,143,159,42,176,336,0
932,143,159,42,176,336,0
933,144,159,42,176,336,0
934,144,159,42,177,337,0
935,144,160,41,178,338,0
936,144,161,41,178,340,0
937,144,161,42,178,342,0
938,145,162,42,179,346,0
939,146,164,41,179,347,0
940,146,166,43,181,350,0
941,147,168,44,182,355,0
942,149,171,47,184,357,0
943,150,173,52,186,363,0
944,151,175,53,191,365,0
945,152,177,55,193,366,0
946,153,178,56,195,369,0
947,153,178,57,197,367,0
948,155,178,56,199,366,0
949,155,178,56,200,362,0
950,155,177,56,202,361,0
951,155,177,56,204,358,0
952,155,175,54,204,351,0
953,155,174,49,203,343,0
954,154,173,47,201,339,0
955,154,173,47,201,338,0
956,153,173,47,201,339,0
957,153,173,43,201,338,0
958,153,172,42,201,337,0
959,153,171,41,201,336,0
960,153,170,40,201,337,0
961,154,170,39,201,338,0
963,154,170,39,202,346,0
964,154,171,40,202,348,0
965,154,171,40,202,348,0
966,153,171,46,201,346,0
967,154,171,48,201,344,0
968,154,171,48,201,342,0
969,154,171,48,202,340,0
970,154,172,48,202,346,0
971,155,173,53,202,351,0
972,155,175,57,204,356,0
973,156,176,58,205,359,0
974,156,177,61,207,356,0
975,156,177,62,208,356,0
977,156,176,62,208,354,0
978,156,176,61,208,355,0
979,156,176,60,208,350,0
980,156,176,54,207,347,0
981,156,175,54,207,341,0
982,155,174,53,207,336,0
983,155,173,52,207,334,0
984,155,172,51,207,336,0
985,155,171,51,207,337,0
986,155,172,50,207,338,0
987,155,172,50,207,338,0
988,155,172,51,207,338,0
989,155,171,51,207,339,0
990,155,171,51,207,337,0
991,156,171,51,207,337,0
992,156,171,51,208,332,0
993,156,170,51,208,333,0
994,156,171,51,208,334,0
995,156,171,51,208,336,0
996,156,172,52,209,337,0
997,156,172,53,209,335,0
998,156,171,53,208,331,0
999,156,170,53,207,325,0
1000,155,169,51,206,321,0
1001,155,168,51,206,320,0
1002,154,167,51,206,319,0
1003,154,167,52,205,318,0
1004,154,167,52,205,313,0
1005,154,166,51,205,312,0
1006,154,166,51,205,310,0
1007,154,167,52,205,310,0
1008,154,168,53,205,312,0
1009,154,169,54,206,314,0
1010,154,170,54,206,316,0
1011,154,170,56,206,316,0
1012,154,170,57,207,315,0
1014,154,170,57,206,316,0
1016,154,172,57,206,315,0
1017,154,173,59,206,317,0
1018,154,173,62,206,316,0
1019,154,173,62,206,315,0
1020,154,174,62,206,316,0
1021,154,175,62,206,319,0
1022,154,176,64,207,320,0
1023,154,177,66,207,321,0
1024,154,178,67,207,323,0
1025,155,179,69,207,323,0
1026,155,180,71,208,326,0
1027,155,181,71,209,326,0
1028,155,181,73,209,325,0
1029,155,182,73,209,323,0
1030,155,182,74,210,323,0
1031,155,182,75,210,322,0
1032,156,183,75,210,321,0
1033,156,185,76,211,325,0
1034,157,187,77,211,329,0
1035,157,188,80,212,333,0
1036,157,189,83,214,333,0
1037,158,190,83,215,332,0
1038,158,190,86,216,335,0
1039,159,191,87,217,337,0
1040,159,193,88,218,340,0
1041,159,194,90,219,341,0
1042,159,194,93,219,342,0
1043,159,195,93,219,342,0
1044,159,196,92,220,344,0
1045,159,197,92,220,343,0
1046,160,198,95,221,342,0
1047,160,199,97,221,342,0
1048,160,200,98,222,343,0
1049,160,201,100,223,344,0
1050,160,202,103,223,346,0
1051,161,204,103,223,349,0
1052,161,206,106,224,350,0
1053,161,207,110,225,351,0
1054,162,208,112,226,350,0
1055,162,209,113,227,349,0
