x,a,b,c,d,index_value,label
429,89,115,26,79,244,1
430,89,115,26,79,245,1
431,89,115,26,79,253,1
432,89,115,29,79,254,1
433,90,115,29,79,256,1
434,90,116,28,80,258,1
435,90,117,28,81,262,1
436,91,119,29,83,265,1
437,92,120,32,84,270,1
438,93,121,34,85,272,1
439,94,122,35,87,277,1
440,95,124,36,89,279,1
441,96,125,38,90,278,1
442,97,124,39,90,276,1
443,97,123,38,90,271,1
444,97,123,38,91,274,1
446,98,123,38,92,276,1
447,98,123,38,92,275,1
448,99,123,38,93,272,1
450,99,122,38,93,262,1
451,99,120,37,93,257,1
452,99,118,35,92,247,1
453,98,116,34,90,248,1
454,97,115,33,90,250,1
455,97,115,33,90,254,1
456,97,116,32,90,255,1
457,97,116,32,90,255,1
458,97,117,33,91,259,1
459,98,117,33,91,262,1
460,98,117,34,91,266,1
461,98,118,33,91,267,1
462,98,119,33,93,268,1
463,99,120,33,93,270,1
464,99,120,35,93,275,1
465,99,120,36,93,276,1
466,99,120,36,94,274,1
468,100,120,36,94,272,1
469,100,119,35,94,272,1
471,100,119,35,94,272,1
473,100,121,35,95,274,1
474,101,122,36,96,277,1
475,102,123,36,97,278,1
476,102,123,38,97,281,1
477,102,123,39,97,279,1
478,102,123,39,97,277,0
479,102,122,38,97,273,1
480,102,121,37,97,274,1
481,101,121,37,96,275,1
482,102,121,38,97,276,1
484,102,122,38,98,277,1
485,103,122,38,98,279,1
486,103,122,38,98,278,1
487,103,122,39,98,277,1
488,103,122,39,98,273,1
489,102,121,38,98,273,1
490,102,121,38,97,273,1
491,102,121,38,97,268,1
492,102,120,37,97,265,1
493,102,119,36,97,261,1
494,102,118,35,98,261,1
495,102,118,35,98,260,1
496,102,118,36,98,260,1
497,104,119,36,100,260,1
498,105,120,36,101,264,1
499,105,120,37,101,266,1
500,105,121,38,102,272,1
501,105,121,38,102,273,1
502,105,121,38,102,272,1
503,105,121,38,102,268,1
504,105,120,38,102,261,1
505,105,118,37,102,257,1
506,104,117,36,100,248,1
507,104,115,34,99,245,1
508,104,115,33,99,245,1
510,104,115,33,99,252,1
511,104,116,33,100,254,1
512,104,117,34,100,261,1
513,104,118,34,101,264,1
514,105,120,35,103,274,1
515,107,123,37,105,281,1
516,108,125,39,107,287,1
517,109,128,43,107,293,1
518,109,128,47,107,296,1
519,109,128,47,107,297,1
520,108,128,47,107,294,1
521,109,128,47,107,294,1
522,109,128,47,108,292,1
523,109,128,47,108,292,1
524,109,128,47,108,288,1
525,109,127,46,108,290,1
526,109,127,46,108,290,1
527,109,127,46,108,288,1
528,109,127,46,108,286,1
529,109,126,45,108,284,1
530,109,126,45,108,285,1
531,109,125,45,109,283,1
532,109,125,44,109,283,1
533,109,125,44,109,280,1
534,109,125,44,108,280,1
535,109,125,45,107,280,1
536,109,125,44,108,282,1
537,109,125,44,108,281,1
538,109,125,44,108,280,1
539,109,125,43,108,277,1
540,109,126,43,109,277,1
541,110,127,43,110,277,1
542,110,127,45,110,278,1
543,110,127,47,110,276,1
547,115,129,41,116,280,1
548,115,128,40,116,275,1
549,115,127,39,116,270,1
550,115,126,37,116,265,1
551,115,127,37,116,267,1
552,115,127,37,116,271,1
553,115,128,37,116,278,1
554,116,129,38,116,279,1
555,116,129,40,116,284,1
556,116,129,40,117,284,1
557,116,130,40,117,286,1
558,116,131,40,117,288,1
559,116,131,42,117,287,1
560,116,130,43,118,284,1
561,116,129,42,118,279,1
562,116,129,41,117,273,1
563,116,127,40,116,264,1
564,116,127,39,116,260,1
565,115,125,37,116,256,1
570,113,121,35,112,233,1
571,112,121,34,112,232,1
572,111,120,34,112,232,1
573,111,120,32,110,234,1
574,111,121,32,110,237,1
575,111,122,32,111,241,1
576,112,123,33,112,246,1
577,112,125,34,112,249,1
578,112,126,36,112,255,1
579,112,128,36,113,258,1
580,112,128,37,113,262,1
581,112,129,38,113,264,1
582,112,130,39,113,267,1
583,113,131,39,114,268,1
584,113,132,39,114,272,1
585,113,132,40,114,272,1
586,113,132,41,114,272,1
587,113,131,40,114,271,1
588,113,131,39,114,268,1
589,113,129,39,114,260,1
590,113,128,38,114,257,1
591,112,126,36,113,250,1
592,112,125,34,112,247,1
593,111,125,34,111,247,1
594,111,125,33,111,246,1
596,111,125,33,111,252,1
597,111,125,33,111,251,1
598,111,125,33,111,251,1
599,112,125,32,111,250,1
600,112,126,32,112,253,1
602,112,126,32,113,254,1
603,113,126,32,113,253,1
604,113,126,32,114,252,1
605,113,126,31,114,246,1
606,113,126,31,114,245,1
607,113,126,31,114,243,1
608,113,126,31,113,239,1
609,113,125,31,113,237,1
610,112,124,30,112,234,1
612,112,124,30,112,237,1
613,112,125,30,111,239,1
614,112,125,30,111,241,1
615,112,125,30,111,240,1
616,112,124,29,111,237,1
617,111,123,28,110,235,1
618,111,123,28,111,240,1
620,113,126,28,113,252,1
621,113,127,30,113,254,1
622,113,127,30,113,256,1
623,113,128,31,113,258,1
624,113,128,31,114,260,1
625,114,129,32,114,263,1
633,116,135,34,116,282,1
634,117,136,35,117,286,1
635,117,136,37,118,287,1
636,117,137,38,118,290,1
638,118,137,38,119,293,1
639,118,137,39,120,293,1
640,118,137,38,120,293,1
641,118,137,37,121,291,1
642,118,137,37,120,291,1
643,118,136,37,120,290,1
644,118,136,36,120,288,1
645,118,134,35,119,279,1
646,118,133,33,119,277,1
647,117,132,32,119,270,1
648,117,132,32,119,271,1
649,117,132,32,119,274,1
650,117,132,32,119,278,1
651,117,133,32,119,281,1
652,117,134,32,119,285,1
653,117,134,33,119,288,1
654,117,135,33,119,291,1
655,118,137,33,119,295,1
656,119,137,34,120,298,1
657,119,138,35,121,302,1
658,119,138,35,121,304,1
659,119,139,36,122,306,1
660,120,140,36,122,308,1
661,120,141,37,123,311,1
662,121,142,38,124,313,1
